"","doc_id","negative","positive","neg_positive","neg_negative"
"77","text77",0,0,0,0
"78","text78",0,0,0,0
"79","text79",0,0,0,0
"80","text80",1,1,0,0
"81","text81",0,1,0,0
"82","text82",1,0,0,0
"83","text83",2,0,0,0
"84","text84",1,1,0,0
"85","text85",2,0,0,0
"86","text86",1,0,0,0
"87","text87",0,1,0,0
"88","text88",0,0,0,0
"89","text89",0,0,0,0
"90","text90",0,1,0,0
"91","text91",1,2,0,0
"92","text92",2,0,0,0
"93","text93",0,1,0,0
"94","text94",0,1,0,0
"95","text95",0,1,0,0
"96","text96",0,1,0,0
"97","text97",0,0,0,0
"98","text98",2,1,0,0
"99","text99",0,0,0,0
"100","text100",0,1,0,0
"101","text101",0,0,0,0
"102","text102",1,3,0,0
"103","text103",1,0,0,0
"104","text104",0,1,0,0
"105","text105",1,0,0,0
"106","text106",0,0,0,0
"107","text107",0,0,0,0
"108","text108",1,0,0,0
"109","text109",1,0,0,0
"110","text110",0,0,0,0
"111","text111",0,0,0,0
"112","text112",0,0,0,0
"113","text113",0,0,0,0
"114","text114",0,0,0,0
"115","text115",0,0,0,0
"116","text116",0,0,0,0
"117","text117",1,1,0,0
"118","text118",1,0,0,0
"119","text119",1,0,0,0
"120","text120",1,0,0,0
"121","text121",1,0,0,0
"122","text122",0,0,0,0
"123","text123",0,0,0,0
"124","text124",0,0,0,0
"125","text125",1,0,0,0
"126","text126",0,0,0,0
"127","text127",1,0,0,0
"128","text128",1,0,0,0
"129","text129",0,0,0,0
"130","text130",0,0,0,0
"131","text131",1,0,0,0
"132","text132",0,0,0,0
"133","text133",0,0,0,0
"134","text134",0,0,0,0
"135","text135",0,0,0,0
"136","text136",0,0,0,0
"137","text137",0,0,0,0
"138","text138",0,0,0,0
"139","text139",0,0,0,0
"140","text140",0,0,0,0
"141","text141",0,0,0,0
"142","text142",1,2,0,0
"143","text143",1,0,0,0
"144","text144",1,0,0,0
"145","text145",0,0,0,0
"146","text146",0,0,0,0
"147","text147",0,0,0,0
"148","text148",0,0,0,0
"149","text149",0,1,0,0
"150","text150",1,0,0,0
"151","text151",0,0,0,0
"152","text152",0,1,0,0
"153","text153",0,0,0,0
"154","text154",0,0,0,0
"155","text155",0,0,0,0
"156","text156",0,0,0,0
"157","text157",0,0,0,0
"158","text158",0,0,0,0
"159","text159",1,0,0,0
"160","text160",0,0,0,0
"161","text161",0,0,0,0
"162","text162",1,0,0,0
"163","text163",0,1,0,0
"164","text164",1,2,0,0
"165","text165",1,0,0,0
"166","text166",0,0,0,0
"167","text167",0,0,0,0
"168","text168",3,0,0,0
"169","text169",0,0,0,0
"170","text170",1,2,0,0
"171","text171",2,0,0,0
"172","text172",1,0,0,0
"173","text173",0,2,0,0
"174","text174",0,0,0,0
"175","text175",2,0,0,0
"176","text176",1,0,0,0
"177","text177",0,0,0,0
"178","text178",1,0,0,0
"179","text179",0,0,0,0
"180","text180",0,2,0,0
"181","text181",2,0,0,0
"182","text182",1,1,0,0
"183","text183",2,0,0,0
"184","text184",0,0,0,0
"185","text185",0,1,0,0
"186","text186",1,0,0,0
"187","text187",0,0,0,0
"188","text188",0,0,0,0
"189","text189",1,0,0,0
"190","text190",1,0,0,0
"191","text191",0,2,0,0
"192","text192",0,0,0,0
"193","text193",0,0,0,0
"194","text194",1,0,0,0
"195","text195",0,1,0,0
"196","text196",1,0,0,0
"197","text197",1,0,0,0
"198","text198",1,0,0,0
"199","text199",0,1,0,0
"200","text200",0,0,0,0
"201","text201",0,0,0,0
"202","text202",1,0,0,0
"203","text203",0,0,0,0
"204","text204",0,1,0,0
"205","text205",1,0,0,0
"206","text206",0,0,0,0
"207","text207",1,0,0,0
"208","text208",1,0,0,0
"209","text209",1,1,0,0
"210","text210",0,0,0,0
"211","text211",0,1,0,0
"212","text212",1,2,0,0
"213","text213",0,0,0,0
"214","text214",1,0,0,0
"215","text215",0,1,0,0
"216","text216",1,0,0,0
"217","text217",0,2,0,0
"218","text218",0,1,0,0
"219","text219",1,0,0,0
"220","text220",0,0,0,0
"221","text221",1,0,0,0
"222","text222",0,1,0,0
"223","text223",0,1,0,0
"224","text224",1,0,0,0
"225","text225",1,1,0,0
"226","text226",0,0,0,0
"227","text227",0,0,0,0
"228","text228",1,0,0,0
"229","text229",0,0,0,0
"230","text230",0,1,0,0
"231","text231",0,0,0,0
"232","text232",0,0,0,0
"233","text233",0,0,0,0
"234","text234",0,0,0,0
"235","text235",0,0,0,0
"236","text236",1,0,0,0
"237","text237",1,0,0,0
"238","text238",0,0,0,0
"239","text239",1,0,0,0
"240","text240",1,0,0,0
"241","text241",1,0,0,0
"242","text242",0,0,0,0
"243","text243",0,0,0,0
"244","text244",1,0,0,0
"245","text245",0,0,0,0
"246","text246",0,0,0,0
"247","text247",0,1,0,0
"248","text248",1,0,0,0
"249","text249",1,0,0,0
"250","text250",0,0,0,0
"251","text251",1,0,0,0
"252","text252",0,0,0,0
"253","text253",0,1,0,0
"254","text254",1,1,0,0
"255","text255",0,1,0,0
"256","text256",1,0,0,0
"257","text257",1,0,0,0
"258","text258",1,0,0,0
"259","text259",1,0,0,0
"260","text260",0,0,0,0
"261","text261",0,0,0,0
"262","text262",0,1,0,0
"263","text263",0,0,0,0
"264","text264",1,1,1,0
"265","text265",0,0,0,0
"266","text266",0,1,0,0
"267","text267",0,1,0,0
"268","text268",0,0,0,0
"269","text269",0,0,0,0
"270","text270",1,0,0,0
"271","text271",0,0,0,0
"272","text272",1,0,0,0
"273","text273",1,1,0,0
"274","text274",1,0,0,0
"275","text275",0,0,0,0
"276","text276",1,0,0,0
"277","text277",1,0,0,0
"278","text278",0,0,0,0
"279","text279",0,0,0,0
"280","text280",0,0,0,0
"281","text281",0,0,0,0
"282","text282",0,1,0,0
"283","text283",1,0,0,0
"284","text284",0,0,0,0
"285","text285",0,0,0,0
"286","text286",1,0,0,0
"287","text287",0,0,0,0
"288","text288",0,0,0,0
"289","text289",1,0,0,0
"290","text290",1,0,0,0
"291","text291",1,0,0,0
"292","text292",1,0,0,0
"293","text293",0,0,0,0
"294","text294",1,0,0,0
"295","text295",1,1,0,0
"296","text296",1,1,0,0
"297","text297",0,0,0,0
"298","text298",0,0,0,0
"299","text299",1,0,0,0
"300","text300",1,1,0,0
"301","text301",1,0,0,0
"302","text302",0,0,0,0
"303","text303",0,0,0,0
"304","text304",0,0,0,0
"305","text305",1,0,0,0
"306","text306",1,1,0,0
"307","text307",1,0,0,0
"308","text308",0,1,0,0
"309","text309",1,0,0,0
"310","text310",0,0,0,0
"311","text311",0,0,0,0
"312","text312",0,0,0,0
"313","text313",0,1,0,0
"314","text314",0,0,0,0
"315","text315",0,0,0,0
"316","text316",0,1,0,0
"317","text317",0,0,0,0
"318","text318",0,0,0,0
"319","text319",0,0,0,0
"320","text320",0,0,0,0
"321","text321",0,1,0,0
"322","text322",0,0,0,0
"323","text323",0,0,0,0
"324","text324",0,0,0,0
"325","text325",1,0,0,0
"326","text326",0,0,0,0
"327","text327",1,0,0,0
"328","text328",0,1,0,0
"329","text329",0,1,0,0
"330","text330",0,0,0,0
"331","text331",0,0,0,0
"332","text332",0,0,0,0
"333","text333",0,0,0,0
"334","text334",1,0,0,0
"335","text335",1,0,0,0
"336","text336",1,0,0,0
"337","text337",0,0,0,0
"338","text338",2,0,0,0
"339","text339",1,0,0,0
"340","text340",0,1,0,0
"341","text341",1,0,0,0
"342","text342",2,0,0,0
"343","text343",0,1,0,0
"344","text344",1,1,0,0
"345","text345",0,0,0,0
"346","text346",0,0,0,0
"347","text347",0,0,0,0
"348","text348",0,0,0,0
"349","text349",0,1,0,0
"350","text350",0,0,0,0
"351","text351",1,2,0,0
"352","text352",0,0,0,0
"353","text353",0,0,0,0
"354","text354",1,0,0,0
"355","text355",0,0,0,0
"356","text356",0,0,0,0
"357","text357",1,0,0,0
"358","text358",0,0,0,0
"359","text359",1,0,0,0
"360","text360",2,0,0,0
"361","text361",1,0,0,0
"362","text362",1,0,0,0
"363","text363",1,0,0,0
"364","text364",1,0,0,0
"365","text365",0,0,0,0
"366","text366",0,0,0,0
"367","text367",1,1,0,0
"368","text368",0,0,0,0
"369","text369",1,0,0,0
"370","text370",0,1,0,0
"371","text371",0,1,0,0
"372","text372",1,0,0,0
"373","text373",0,1,0,0
"374","text374",1,0,0,0
"375","text375",1,2,0,0
"376","text376",0,1,0,0
"377","text377",0,0,0,0
"378","text378",1,0,0,0
"379","text379",0,1,0,0
"380","text380",0,0,0,0
"381","text381",1,0,0,0
"382","text382",0,1,0,0
"383","text383",0,0,0,0
"384","text384",1,0,0,0
"385","text385",0,0,0,0
"386","text386",0,0,0,0
"387","text387",0,0,0,0
"388","text388",1,0,0,0
"389","text389",1,0,0,0
"390","text390",1,0,0,0
"391","text391",0,1,0,0
"392","text392",1,0,0,0
"393","text393",0,0,0,0
"394","text394",0,0,0,0
"395","text395",1,0,0,0
"396","text396",1,0,0,0
"397","text397",1,0,0,0
"398","text398",1,0,0,0
"399","text399",0,0,0,0
"400","text400",1,0,0,0
"401","text401",0,0,0,0
"402","text402",0,0,0,0
"403","text403",0,1,0,0
"404","text404",0,0,0,0
"405","text405",0,1,0,0
"406","text406",0,0,0,0
"407","text407",1,0,0,0
"408","text408",0,0,0,0
"409","text409",0,0,0,0
"410","text410",0,0,0,0
"411","text411",0,0,0,0
"412","text412",1,0,0,0
"413","text413",0,1,0,0
"414","text414",0,0,0,0
"415","text415",0,1,0,0
"416","text416",0,0,0,0
"417","text417",0,0,0,0
"418","text418",1,0,0,0
"419","text419",0,1,0,0
"420","text420",0,1,0,0
"421","text421",2,0,0,0
"422","text422",1,0,0,0
"423","text423",0,0,0,0
"424","text424",0,0,0,0
"425","text425",0,0,0,0
"426","text426",1,0,0,0
"427","text427",1,0,0,0
"428","text428",0,1,0,0
"429","text429",0,0,0,0
"430","text430",1,0,0,0
"431","text431",0,1,0,0
"432","text432",0,1,0,0
"433","text433",1,0,0,0
"434","text434",0,1,0,0
"435","text435",1,1,0,0
"436","text436",1,0,0,0
"437","text437",2,0,0,0
"438","text438",0,0,0,0
"439","text439",0,0,0,0
"440","text440",0,1,0,0
"441","text441",0,0,0,0
"442","text442",0,0,0,0
"443","text443",0,0,0,0
"444","text444",1,0,0,0
"445","text445",0,0,0,0
"446","text446",1,1,1,0
"447","text447",1,0,0,0
"448","text448",0,0,0,0
"449","text449",0,1,0,0
"450","text450",1,0,0,0
"451","text451",0,0,0,0
"452","text452",0,0,0,0
"453","text453",1,0,0,0
"454","text454",1,0,0,0
"455","text455",0,1,0,0
"456","text456",1,0,0,0
"457","text457",1,0,0,0
"458","text458",1,0,0,0
"459","text459",1,0,0,0
"460","text460",0,1,0,0
"461","text461",0,0,0,0
"462","text462",0,2,0,0
"463","text463",1,0,0,0
"464","text464",0,0,0,0
"465","text465",0,0,0,0
"466","text466",0,0,0,0
"467","text467",0,0,0,0
"468","text468",0,0,0,0
"469","text469",0,1,0,0
"470","text470",0,0,0,0
"471","text471",1,0,0,0
"472","text472",0,0,0,0
"473","text473",2,0,0,0
"474","text474",2,0,0,0
"475","text475",1,0,0,0
"476","text476",2,0,0,0
"477","text477",0,1,0,0
"478","text478",1,0,0,0
"479","text479",1,0,0,0
"480","text480",0,0,0,0
"481","text481",1,0,0,0
"482","text482",0,0,0,0
"483","text483",2,0,0,0
"484","text484",0,0,0,0
"485","text485",0,1,0,0
"486","text486",0,1,0,0
"487","text487",2,0,0,0
"488","text488",1,0,0,0
"489","text489",1,0,0,0
"490","text490",0,0,0,0
"491","text491",0,0,0,0
"492","text492",0,0,0,0
"493","text493",0,0,0,0
"494","text494",0,1,0,0
"495","text495",2,0,0,0
"496","text496",0,1,0,0
"497","text497",0,1,0,0
"498","text498",1,0,0,0
"499","text499",0,0,0,0
"500","text500",0,1,0,0
"501","text501",1,0,0,0
"502","text502",0,1,0,0
"503","text503",0,0,0,0
"504","text504",1,0,0,0
"505","text505",0,0,0,0
"506","text506",1,0,0,0
"507","text507",0,0,0,0
"508","text508",1,0,0,0
"509","text509",2,0,0,0
"510","text510",2,0,0,0
"511","text511",1,0,0,0
"512","text512",0,0,0,0
"513","text513",1,0,0,0
"514","text514",0,1,0,0
"515","text515",1,1,0,0
"516","text516",2,0,0,0
"517","text517",1,0,0,0
"518","text518",0,0,0,0
"519","text519",0,0,0,0
"520","text520",1,1,0,0
"521","text521",0,0,0,0
"522","text522",0,0,0,0
"523","text523",1,0,0,0
"524","text524",0,0,0,0
"525","text525",1,0,0,0
"526","text526",2,0,0,1
"527","text527",1,0,0,0
"528","text528",0,0,0,0
"529","text529",0,1,0,0
"530","text530",1,0,0,0
"531","text531",0,0,0,0
"532","text532",0,0,0,0
"533","text533",0,1,0,0
"534","text534",1,0,0,0
"535","text535",2,0,0,0
"536","text536",0,0,0,0
"537","text537",0,0,0,0
"538","text538",0,0,0,0
"539","text539",0,1,0,0
"540","text540",0,0,0,0
"541","text541",1,0,0,0
"542","text542",1,0,0,0
"543","text543",1,0,0,0
"544","text544",1,0,0,0
"545","text545",1,0,0,0
"546","text546",0,1,0,0
"547","text547",1,0,0,0
"548","text548",1,0,0,0
"549","text549",2,0,0,0
"550","text550",1,1,0,0
"551","text551",1,0,0,0
"552","text552",1,0,0,0
"553","text553",0,0,0,0
"554","text554",0,0,0,0
"555","text555",0,0,0,0
"556","text556",0,2,0,0
"557","text557",0,0,0,0
"558","text558",0,0,0,0
"559","text559",0,0,0,0
"560","text560",0,0,0,0
"561","text561",0,0,0,0
"562","text562",2,0,0,1
"563","text563",0,0,0,0
"564","text564",0,0,0,0
"565","text565",3,0,0,0
"566","text566",1,0,0,0
"567","text567",0,0,0,0
"568","text568",0,1,0,0
"569","text569",1,0,0,0
"570","text570",0,0,0,0
"571","text571",2,0,0,0
"572","text572",0,0,0,0
"573","text573",1,0,0,0
"574","text574",0,2,0,0
"575","text575",1,0,0,0
"576","text576",0,0,0,0
"577","text577",0,0,0,0
"578","text578",0,1,0,0
"579","text579",0,0,0,0
"580","text580",0,0,0,0
"581","text581",1,0,0,0
"582","text582",1,0,0,0
"583","text583",0,0,0,0
"584","text584",0,0,0,0
"585","text585",1,0,0,0
"586","text586",0,1,0,0
"587","text587",0,1,0,0
"588","text588",1,0,0,0
"589","text589",1,1,1,0
"590","text590",2,0,0,0
"591","text591",1,0,0,0
"592","text592",0,0,0,0
"593","text593",0,0,0,0
"594","text594",2,0,0,0
"595","text595",0,0,0,0
"596","text596",0,0,0,0
"597","text597",0,0,0,0
"598","text598",1,0,0,0
"599","text599",1,0,0,0
"600","text600",1,0,0,0
"601","text601",0,0,0,0
"602","text602",0,0,0,0
"603","text603",0,0,0,0
"604","text604",0,1,0,0
"605","text605",0,0,0,0
"606","text606",0,1,0,0
"607","text607",0,1,0,0
"608","text608",0,0,0,0
"609","text609",0,1,0,0
"610","text610",1,1,0,0
"611","text611",0,0,0,0
"612","text612",0,0,0,0
"613","text613",2,0,0,0
"614","text614",0,1,0,0
"615","text615",1,0,0,0
"616","text616",1,0,0,0
"617","text617",0,1,0,0
"618","text618",1,1,0,0
"619","text619",0,0,0,0
"620","text620",1,0,0,0
"621","text621",0,0,0,0
"622","text622",0,1,0,0
"623","text623",3,0,0,0
"624","text624",4,0,0,0
"625","text625",0,0,0,0
"626","text626",0,0,0,0
"627","text627",1,1,0,0
"628","text628",0,0,0,0
"629","text629",1,1,0,0
"630","text630",0,0,0,0
"631","text631",0,0,0,0
"632","text632",0,1,0,0
"633","text633",0,0,0,0
"634","text634",1,0,0,0
"635","text635",1,0,0,0
"636","text636",0,0,0,0
"637","text637",0,0,0,0
"638","text638",1,0,0,0
"639","text639",1,0,0,0
"640","text640",0,1,0,0
"641","text641",0,0,0,0
"642","text642",0,2,0,0
"643","text643",0,2,0,0
"644","text644",0,1,0,0
"645","text645",0,0,0,0
"646","text646",0,2,0,0
"647","text647",0,1,0,0
"648","text648",0,0,0,0
"649","text649",1,0,0,0
"650","text650",0,0,0,0
"651","text651",0,0,0,0
"652","text652",1,3,0,0
"653","text653",0,0,0,0
"654","text654",1,0,0,0
"655","text655",1,0,0,0
"656","text656",1,0,0,0
"657","text657",0,1,0,0
"658","text658",1,0,0,0
"659","text659",0,1,0,0
"660","text660",0,0,0,0
"661","text661",0,0,0,0
"662","text662",1,0,0,0
"663","text663",0,0,0,0
"664","text664",3,0,0,0
"665","text665",0,0,0,0
"666","text666",0,0,0,0
"667","text667",0,0,0,0
"668","text668",0,2,0,0
"669","text669",1,2,0,0
"670","text670",1,1,0,0
"671","text671",0,0,0,0
"672","text672",1,0,0,0
"673","text673",1,0,0,0
"674","text674",1,0,0,0
"675","text675",0,0,0,0
"676","text676",1,1,0,0
"677","text677",3,1,0,0
"678","text678",1,0,0,0
"679","text679",0,0,0,0
"680","text680",0,0,0,0
"681","text681",1,0,0,0
"682","text682",1,2,0,0
"683","text683",2,1,0,0
"684","text684",0,1,0,0
"685","text685",0,0,0,0
"686","text686",0,0,0,0
"687","text687",0,0,0,0
"688","text688",0,1,0,0
"689","text689",1,1,0,0
"690","text690",0,0,0,0
"691","text691",0,0,0,0
"692","text692",0,1,0,0
"693","text693",0,2,0,0
"694","text694",0,0,0,0
"695","text695",1,0,0,0
"696","text696",0,1,0,0
"697","text697",0,0,0,0
"698","text698",0,0,0,0
"699","text699",0,0,0,0
"700","text700",0,1,0,0
"701","text701",0,2,0,0
"702","text702",0,0,0,0
"703","text703",0,0,0,0
"704","text704",0,0,0,0
"705","text705",0,1,0,0
"706","text706",0,1,0,0
"707","text707",0,0,0,0
"708","text708",1,0,0,0
"709","text709",0,1,0,0
"710","text710",0,1,0,0
"711","text711",0,0,0,0
"712","text712",0,0,0,0
"713","text713",0,0,0,0
"714","text714",0,0,0,0
"715","text715",0,2,0,0
"716","text716",0,0,0,0
"717","text717",0,3,0,0
"718","text718",3,1,0,0
"719","text719",0,0,0,0
"720","text720",0,2,0,0
"721","text721",0,0,0,0
"722","text722",0,1,0,0
"723","text723",0,1,0,0
"724","text724",0,0,0,0
"725","text725",0,3,0,0
"726","text726",0,0,0,0
"727","text727",0,0,0,0
"728","text728",0,0,0,0
"729","text729",0,0,0,0
"730","text730",0,1,0,0
"731","text731",1,1,0,0
"732","text732",0,0,0,0
"733","text733",2,0,0,0
"734","text734",0,0,0,0
"735","text735",0,1,0,0
"736","text736",0,0,0,0
"737","text737",0,0,0,0
"738","text738",0,0,0,0
"739","text739",2,0,0,0
"740","text740",0,1,0,0
"741","text741",1,0,1,0
"742","text742",1,0,0,0
"743","text743",0,0,0,0
"744","text744",0,0,0,0
"745","text745",0,1,0,0
"746","text746",1,0,0,0
"747","text747",0,0,0,0
"748","text748",0,1,0,0
"749","text749",0,1,0,0
"750","text750",1,0,0,0
"751","text751",0,0,0,0
"752","text752",1,0,0,0
"753","text753",0,0,0,0
"754","text754",0,0,0,0
"755","text755",0,0,0,0
"756","text756",0,1,0,0
"757","text757",0,2,0,0
"758","text758",0,0,0,0
"759","text759",0,0,0,0
"760","text760",1,0,0,0
"761","text761",0,1,0,0
"762","text762",0,0,0,0
"763","text763",1,0,0,0
"764","text764",0,0,0,0
"765","text765",0,1,0,0
"766","text766",0,0,0,0
"767","text767",0,0,0,0
"768","text768",0,0,0,0
"769","text769",0,1,0,0
"770","text770",0,1,0,0
"771","text771",1,2,0,0
"772","text772",1,0,0,0
"773","text773",0,1,0,0
"774","text774",0,0,0,0
"775","text775",0,1,0,0
"776","text776",0,1,0,0
"777","text777",1,1,0,0
"778","text778",0,0,0,0
"779","text779",0,0,0,0
"780","text780",0,0,0,0
"781","text781",0,1,0,0
"782","text782",0,4,0,0
"783","text783",0,1,0,0
"784","text784",1,3,0,0
"785","text785",0,1,0,0
"786","text786",0,4,0,0
"787","text787",0,0,0,0
"788","text788",0,0,0,0
"789","text789",2,1,0,0
"790","text790",0,4,0,0
"791","text791",0,0,0,0
"792","text792",0,1,0,0
"793","text793",1,1,0,0
"794","text794",0,0,0,0
"795","text795",0,1,0,0
"796","text796",0,0,0,0
"797","text797",1,1,0,0
"798","text798",0,1,0,0
"799","text799",0,1,0,0
"800","text800",0,0,0,0
"801","text801",0,0,0,0
"802","text802",0,0,0,0
"803","text803",0,0,0,0
"804","text804",0,0,0,0
"805","text805",0,0,0,0
"806","text806",0,0,0,0
"807","text807",0,0,0,0
"808","text808",0,0,0,0
"809","text809",0,0,0,0
"810","text810",2,0,0,0
"811","text811",0,0,0,0
"812","text812",1,1,0,0
"813","text813",0,1,0,0
"814","text814",0,0,0,0
"815","text815",1,1,0,0
"816","text816",0,0,0,0
"817","text817",0,0,0,0
"818","text818",1,0,0,0
"819","text819",1,1,0,0
"820","text820",0,1,0,0
"821","text821",0,1,0,0
"822","text822",0,0,0,0
"823","text823",1,0,0,0
"824","text824",0,0,0,0
"825","text825",0,1,0,0
"826","text826",0,1,0,0
"827","text827",0,0,0,0
"828","text828",0,3,0,0
"829","text829",0,0,0,0
"830","text830",0,0,0,0
"831","text831",0,0,0,0
"832","text832",0,0,0,0
"833","text833",0,0,0,0
"834","text834",0,0,0,0
"835","text835",0,0,0,0
"836","text836",0,1,0,0
"837","text837",0,0,0,0
"838","text838",0,0,0,0
"839","text839",0,2,0,0
"840","text840",0,0,0,0
"841","text841",0,0,0,0
"842","text842",0,4,0,0
"843","text843",1,0,0,0
"844","text844",0,1,0,0
"845","text845",0,0,0,0
"846","text846",0,0,0,0
"847","text847",0,1,0,0
"848","text848",0,0,0,0
"849","text849",0,1,0,0
"850","text850",0,0,0,0
"851","text851",0,0,0,0
"852","text852",0,0,0,0
"853","text853",0,0,0,0
"854","text854",0,0,0,0
"855","text855",0,1,0,0
"856","text856",0,0,0,0
"857","text857",0,1,0,0
"858","text858",0,1,0,0
"859","text859",0,0,0,0
"860","text860",0,0,0,0
"861","text861",0,0,0,0
"862","text862",0,1,0,0
"863","text863",0,0,0,0
"864","text864",0,0,0,0
"865","text865",0,0,0,0
"866","text866",0,0,0,0
"867","text867",1,0,0,0
"868","text868",0,0,0,0
"869","text869",0,0,0,0
"870","text870",0,0,0,0
"871","text871",0,0,0,0
"872","text872",0,0,0,0
"873","text873",1,0,0,0
"874","text874",1,0,0,0
"875","text875",0,1,0,0
"876","text876",0,1,0,0
"877","text877",0,1,0,0
"878","text878",0,2,0,0
"879","text879",0,0,0,0
"880","text880",0,0,0,0
"881","text881",1,1,0,0
"882","text882",0,0,0,0
"883","text883",0,0,0,0
"884","text884",0,0,0,0
"885","text885",0,3,0,0
"886","text886",1,0,0,0
"887","text887",0,0,0,0
"888","text888",0,0,0,0
"889","text889",1,1,0,0
"890","text890",0,0,0,0
"891","text891",0,0,0,0
"892","text892",0,1,0,0
"893","text893",0,0,0,0
"894","text894",0,0,0,0
"895","text895",0,0,0,0
"896","text896",0,1,0,0
"897","text897",1,0,0,0
"898","text898",0,0,0,0
"899","text899",0,1,0,0
"900","text900",0,0,0,0
"901","text901",0,1,0,0
"902","text902",0,0,0,0
"903","text903",0,0,0,0
"904","text904",0,2,0,0
"905","text905",0,1,0,0
"906","text906",0,0,0,0
"907","text907",0,0,0,0
"908","text908",0,2,0,0
"909","text909",0,0,0,0
"910","text910",0,1,0,0
"911","text911",0,0,0,0
"912","text912",0,0,0,0
"913","text913",2,0,0,0
"914","text914",1,0,0,0
"915","text915",1,1,0,0
"916","text916",1,0,0,0
"917","text917",0,0,0,0
"918","text918",1,0,0,0
"919","text919",0,0,0,0
"920","text920",0,1,0,0
"921","text921",0,0,0,0
"922","text922",0,0,0,0
"923","text923",0,0,0,0
"924","text924",0,0,0,0
"925","text925",1,0,0,0
"926","text926",0,0,0,0
"927","text927",1,0,0,0
"928","text928",0,1,0,0
"929","text929",1,0,0,0
"930","text930",0,0,0,0
"931","text931",0,1,0,0
"932","text932",0,0,0,0
"933","text933",0,0,0,0
"934","text934",0,0,0,0
"935","text935",0,0,0,0
"936","text936",0,1,0,0
"937","text937",0,1,0,0
"938","text938",0,1,0,0
"939","text939",0,1,0,0
"940","text940",0,1,0,0
"941","text941",0,0,0,0
"942","text942",0,0,0,0
"943","text943",0,1,0,0
"944","text944",0,3,0,0
"945","text945",0,1,0,0
"946","text946",0,0,0,0
"947","text947",0,0,0,0
"948","text948",1,0,0,0
"949","text949",0,0,0,0
"950","text950",0,2,0,0
"951","text951",0,0,0,0
"952","text952",0,0,0,0
"953","text953",0,0,0,0
"954","text954",0,0,0,0
"955","text955",0,1,0,0
"956","text956",1,0,0,0
"957","text957",1,1,0,0
"958","text958",0,1,0,0
"959","text959",0,0,0,0
"960","text960",0,1,0,0
"961","text961",0,1,0,0
"962","text962",0,1,0,0
"963","text963",0,0,0,0
"964","text964",0,0,0,0
"965","text965",0,0,0,0
"966","text966",0,3,0,0
"967","text967",1,0,0,0
"968","text968",0,0,0,0
"969","text969",0,1,0,0
"970","text970",0,0,0,0
"971","text971",0,0,0,0
"972","text972",1,1,0,0
"973","text973",0,0,0,0
"974","text974",0,1,0,0
"975","text975",1,0,0,0
"976","text976",0,2,0,0
"977","text977",0,0,0,0
"978","text978",0,0,0,0
"979","text979",0,3,0,0
"980","text980",0,1,0,0
"981","text981",0,1,0,0
"982","text982",0,0,0,0
"983","text983",0,0,0,0
"984","text984",0,2,0,0
"985","text985",0,0,0,0
"986","text986",0,0,0,0
"987","text987",0,1,0,0
"988","text988",0,2,0,0
"989","text989",0,0,0,0
"990","text990",0,2,0,0
"991","text991",0,0,0,0
"992","text992",2,0,0,0
"993","text993",0,0,0,0
"994","text994",0,1,0,0
"995","text995",0,1,0,0
"996","text996",0,1,0,0
