"","doc_id","negative","positive","neg_positive","neg_negative"
"173","text173",0,1,0,0
"174","text174",0,0,0,0
"175","text175",0,4,0,0
"176","text176",0,3,0,0
"177","text177",0,0,0,0
"178","text178",0,2,0,0
"179","text179",0,1,0,0
"180","text180",1,1,0,0
"181","text181",0,1,0,0
"182","text182",0,2,0,0
"183","text183",0,0,0,0
"184","text184",0,3,0,0
"185","text185",0,1,0,0
"186","text186",0,1,0,0
"187","text187",0,1,0,0
"188","text188",0,1,0,0
"189","text189",0,2,0,0
"190","text190",1,0,0,0
"191","text191",0,1,0,0
"192","text192",0,2,0,0
"193","text193",0,2,0,0
"194","text194",0,1,0,0
"195","text195",0,3,0,0
"196","text196",1,2,0,0
"197","text197",0,2,0,0
"198","text198",0,2,0,0
"199","text199",1,1,0,0
"200","text200",0,1,0,0
"201","text201",0,1,0,0
"202","text202",0,2,0,0
"203","text203",0,2,0,0
"204","text204",0,1,0,0
"205","text205",0,3,0,0
"206","text206",0,1,0,0
"207","text207",0,2,0,0
"208","text208",0,2,0,0
